id,produto,preco,estoque,categoria
1,Mouse sem fio,85.50,15,Acessórios
2,Teclado Mecânico,220.00,8,Acessórios
3,Monitor 24 pol,890.00,4,Monitores
4,Webcam HD,150.00,0,Vídeo
5,Headset Gamer,180.00,10,Áudio
6,Mousepad Gamer,45.00,25,Acessórios
7,Cadeira Gamer,1250.00,3,Móveis
8,Notebook i5 16GB,4200.00,6,Computadores
9,SSD 1TB,550.00,12,Armazenamento
10,HD Externo 2TB,480.00,9,Armazenamento
11,Placa de Vídeo RTX 4060,3200.00,2,Hardware
12,Memória RAM 16GB,300.00,20,Hardware
13,Fonte 650W,420.00,7,Hardware
14,Switch de Rede 8 Portas,190.00,11,Redes
15,Roteador WiFi 6,380.00,5,Redes
16,Microfone USB,260.00,6,Áudio
17,Caixa de Som Bluetooth,210.00,14,Áudio
18,Suporte para Monitor,120.00,10,Acessórios
19,Hub USB 4 portas,60.00,18,Acessórios
20,Tablet 10 pol,980.00,4,Dispositivos
21,Smartwatch,650.00,7,Dispositivos
22,Carregador USB-C,70.00,22,Acessórios
23,Adaptador HDMI para VGA,35.00,16,Acessórios
24,Estabilizador 500VA,300.00,5,Energia
25,Nobreak 1200VA,780.00,3,Energia
26,Impressora Multifuncional,950.00,4,Periféricos
27,Scanner Portátil,620.00,2,Periféricos
28,Controle Gamer USB,150.00,13,Gaming
29,Console Portátil,2100.00,2,Gaming
30,Câmera de Segurança WiFi,350.00,9,Segurança